,data_id,phafile,backgrnd,rmffile,arffile,modelxcm,binminsig,binmaxbin,fitemin,fitemax,plotxmin,plotxmax,plotymin,plotymax,ploty2min,ploty2max,grp_pha,OBSID,DATEOBS,DATEEND,EXPOSURE,MJD_DATEOBS,MJD_DATEEND,OBJECT,TELESCOP,INSTRUME,MJDOBS,TSTART,TSTOP,fxcm_fit,title,chisquare,reduced_chisquare,dof,probability,rate_0p2to2p0keV,rate_0p2to2p0keV_err,flux_0p2to2p0keV,flux_0p2to2p0keV_err_min,flux_0p2to2p0keV_err_max,par_2,par_2_err_min,par_2_err_max,par_3,par_3_err_min,par_3_err_max
0,1020130105,nispec/psrb0656p14/pha/1020130105/ni1020130105_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130105/ni1020130105_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130105/ni1020130105_o1u20cut_clscr_gtisel_s5n50.pha,1020130105,2017-10-16T23:58:09,2017-10-17T23:42:39,1276.0,58042.998715277776,58043.98795138889,PSR_B0656+14,NICER,XTI,58043.00311555556,119664202.0,119719728.0,nispec/psrb0656p14/fit/1020130105/ni1020130105_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130105 2017-10-16T23:58:09 (1276.0 s),230.24,3.6545,63,6.826772e-21,9.371,0.09258,1.117e-11,1.4000000000000062e-13,1.200000000000003e-13,0.0857743,,,25502.4,,
1,1020130106,nispec/psrb0656p14/pha/1020130106/ni1020130106_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130106/ni1020130106_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130106/ni1020130106_o1u20cut_clscr_gtisel_s5n50.pha,1020130106,2017-10-18T00:40:09,2017-10-18T22:51:59,1789.0,58044.02788194444,58044.95276620371,PSR_B0656+14,NICER,XTI,58044.03062712963,119752979.0,119831947.0,nispec/psrb0656p14/fit/1020130106/ni1020130106_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130106 2017-10-18T00:40:09 (1789.0 s),273.35,3.7965,72,3.199775e-25,9.781,0.07854,1.1505e-11,9.50000000000007e-14,8.500000000000055e-14,0.0858759,,,26122.7,,
2,1020130107,nispec/psrb0656p14/pha/1020130107/ni1020130107_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130107/ni1020130107_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130107/ni1020130107_o1u20cut_clscr_gtisel_s5n50.pha,1020130107,2017-10-19T01:40:32,2017-10-19T23:34:58,7651.0,58045.069814814815,58045.982615740744,PSR_B0656+14,NICER,XTI,58045.07102064815,119842869.0,119921124.0,nispec/psrb0656p14/fit/1020130107/ni1020130107_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130107 2017-10-19T01:40:32 (7651.0 s),915.71,9.8464,93,2.269737e-135,9.847,0.0385,1.1456e-11,4.600000000000041e-14,4.4000000000001024e-14,0.0871361,,,24311.8,,
3,1020130108,nispec/psrb0656p14/pha/1020130108/ni1020130108_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130108/ni1020130108_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130108/ni1020130108_o1u20cut_clscr_gtisel_s5n50.pha,1020130108,2017-10-20T00:32:00,2017-10-20T18:07:17,6010.0,58046.02222222222,58046.755057870374,PSR_B0656+14,NICER,XTI,58046.02482851852,119925278.0,119988324.0,nispec/psrb0656p14/fit/1020130108/ni1020130108_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130108 2017-10-20T00:32:00 (6010.0 s),677.93,7.5325,90,5.648637e-91,9.891,0.04355,1.1508e-11,5.799999999999995e-14,5.200000000000018e-14,0.0871934,,,24348.6,,
4,1020130109,nispec/psrb0656p14/pha/1020130109/ni1020130109_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130109/ni1020130109_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130109/ni1020130109_o1u20cut_clscr_gtisel_s5n50.pha,1020130109,2017-10-23T20:13:26,2017-10-23T23:23:00,1800.0,58049.84266203704,58049.97430555556,PSR_B0656+14,NICER,XTI,58049.94949287037,120264369.0,120266169.0,nispec/psrb0656p14/fit/1020130109/ni1020130109_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130109 2017-10-23T20:13:26 (1800.0 s),308.09,4.0538,76,1.051914e-29,9.925,0.07694,1.1452e-11,9.19999999999992e-14,9.800000000000059e-14,0.0864117,,,25263.0,,
5,1020130110,nispec/psrb0656p14/pha/1020130110/ni1020130110_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130110/ni1020130110_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130110/ni1020130110_o1u20cut_clscr_gtisel_s5n50.pha,1020130110,2017-10-24T00:13:40,2017-10-24T21:00:00,14330.0,58050.00949074074,58050.875,PSR_B0656+14,NICER,XTI,58050.01289564815,120269847.0,120344093.0,nispec/psrb0656p14/fit/1020130110/ni1020130110_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130110 2017-10-24T00:13:40 (14330.0 s),1894.6,17.5426,108,5e-324,10.07,0.02758,1.1592e-11,3.1999999999999864e-14,3.7999999999999636e-14,0.0874995,,,24132.0,,
6,1020130111,nispec/psrb0656p14/pha/1020130111/ni1020130111_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130111/ni1020130111_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130111/ni1020130111_o1u20cut_clscr_gtisel_s5n50.pha,1020130111,2017-10-24T23:42:53,2017-10-25T19:46:20,6479.0,58050.98811342593,58051.823842592596,PSR_B0656+14,NICER,XTI,58050.99207388889,120354448.0,120426380.0,nispec/psrb0656p14/fit/1020130111/ni1020130111_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130111 2017-10-24T23:42:53 (6479.0 s),949.66,10.916,87,4.114115e-145,9.654,0.0411,1.1384e-11,5.4000000000001184e-14,5.5999999999998954e-14,0.0869012,,,24461.9,,
7,1020130112,nispec/psrb0656p14/pha/1020130112/ni1020130112_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130112/ni1020130112_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130112/ni1020130112_o1u20cut_clscr_gtisel_s5n50.pha,1020130112,2017-11-02T05:36:40,2017-11-02T13:22:30,60.0,58059.2337962963,58059.557291666664,PSR_B0656+14,NICER,XTI,58059.55737481482,121094490.0,121094550.0,nispec/psrb0656p14/fit/1020130112/ni1020130112_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130112 2017-11-02T05:36:40 (60.0 s),45.95,2.553,18,0.0003015972,10.42,0.4246,1.1278e-11,6.379999999999995e-13,3.520000000000001e-13,0.0873686,,,23641.1,,
8,1020130113,nispec/psrb0656p14/pha/1020130113/ni1020130113_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130113/ni1020130113_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130113/ni1020130113_o1u20cut_clscr_gtisel_s5n50.pha,1020130113,2017-11-04T00:49:20,2017-11-04T08:39:14,737.0,58061.03425925926,58061.3605787037,PSR_B0656+14,NICER,XTI,58061.10093962963,121227854.0,121250276.0,nispec/psrb0656p14/fit/1020130113/ni1020130113_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130113 2017-11-04T00:49:20 (737.0 s),127.47,2.1244,60,9.020815e-07,9.678,0.12,1.1232e-11,1.6200000000000032e-13,1.179999999999993e-13,0.0865344,,,24614.1,,
9,1020130114,nispec/psrb0656p14/pha/1020130114/ni1020130114_o1u20cut_clscr_gtisel.pha,nispec/psrb0656p14/pha/1020130114/ni1020130114_o1u20cut_BGMod_3C50.pha,/Users/enoto/work/niresp/nicer_v1.02.rmf,/Users/enoto/work/niresp/ni_xrcall_onaxis_v1.02_wo_detid14_34.arf,nispec/psrb0656p14/input/run_nixspec_multi_observations_bb.xcm,5,50,0.2,2.0,0.2,2.0,0.01,100,-10.0,10.0,nispec/psrb0656p14/fit/1020130114/ni1020130114_o1u20cut_clscr_gtisel_s5n50.pha,1020130114,2017-11-05T04:35:39,2017-11-05T23:15:12,1605.0,58062.19142361111,58062.96888888889,PSR_B0656+14,NICER,XTI,58062.19590490741,121322459.0,121361399.0,nispec/psrb0656p14/fit/1020130114/ni1020130114_o1u20cut_clscr_gtisel_s5n50_fit.xcm,PSR_B0656+14 NICER/XTI 1020130114 2017-11-05T04:35:39 (1605.0 s),273.3,3.644,75,2.418225e-24,10.03,0.08197,1.1464e-11,9.40000000000002e-14,9.599999999999959e-14,0.0880578,,,23173.8,,
