Phase_Min,Phase_Max,Norm_Intensity
-0.0019531,-0.0019531,0.988529563
0.0019531,0.0019531,0.878684223
0.0058594,0.0058594,0.775211394
0.0097656,0.0097656,0.685972691
0.0136719,0.0136719,0.591124833
0.0175781,0.0175781,0.486600161
0.0214844,0.0214844,0.373809099
0.0253906,0.0253906,0.255684763
0.0292969,0.0292969,0.165627316
0.0332031,0.0332031,0.109795019
0.0371094,0.0371094,0.076167822
0.0410156,0.0410156,0.071441412
0.0449219,0.0449219,0.058571503
0.0488281,0.0488281,0.052291974
0.0527344,0.0527344,0.051203489
0.0566406,0.0566406,0.053930990
0.0605469,0.0605469,0.052373100
0.0644531,0.0644531,0.046624430
0.0683594,0.0683594,0.035646971
0.0722656,0.0722656,0.032291610
0.0761719,0.0761719,0.026184149
0.0800781,0.0800781,0.022077205
0.0839844,0.0839844,0.016601443
0.0878906,0.0878906,0.017164499
0.0917969,0.0917969,0.010450618
0.0957031,0.0957031,0.009703633
0.0996094,0.0996094,0.009511624
0.1035156,0.1035156,-0.000157066
0.1074219,0.1074219,0.001538329
0.1113281,0.1113281,0.001777924
0.1152344,0.1152344,0.002703570
0.1191406,0.1191406,-0.000818238
0.1230469,0.1230469,-0.000676138
0.1269531,0.1269531,0.002472985
0.1308594,0.1308594,-0.000074500
0.1347656,0.1347656,0.001556961
0.1386719,0.1386719,0.000329961
0.1425781,0.1425781,0.000897248
0.1464844,0.1464844,0.002674827
0.1503906,0.1503906,0.000972215
0.1542969,0.1542969,0.005889220
0.1582031,0.1582031,0.003588860
0.1621094,0.1621094,0.004619216
0.1660156,0.1660156,0.005912554
0.1699219,0.1699219,0.005340869
0.1738281,0.1738281,0.002862065
0.1777344,0.1777344,0.006711840
0.1816406,0.1816406,0.009539153
0.1855469,0.1855469,0.008107476
0.1894531,0.1894531,0.008458487
0.1933594,0.1933594,0.010529344
0.1972656,0.1972656,0.006308059
0.2011719,0.2011719,0.001993685
0.2050781,0.2050781,0.001118197
0.2089844,0.2089844,0.004492870
0.2128906,0.2128906,0.006573793
0.2167969,0.2167969,0.000082200
